Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1662.804932
FDW14,OUT017,1397.627319
NCN55,OUT010,598.2905884
FDQ58,OUT017,2472.993896
FDY38,OUT027,6038.389648
FDH56,OUT046,1877.47998
FDL48,OUT018,651.9795532
FDC48,OUT027,2141.228516
FDN33,OUT045,1574.704834
FDA36,OUT017,3156.905518
FDT44,OUT017,1906.517456
FDQ56,OUT045,1355.404053
NCC54,OUT019,599.4472046
FDU11,OUT049,2046.252686
DRL59,OUT013,903.9671021
FDM24,OUT049,2417.17041
FDI57,OUT045,3113.169189
DRC12,OUT018,2759.396729
NCM42,OUT027,2849.285645
FDA46,OUT010,536.6074219
FDA31,OUT013,2836.617432
NCJ31,OUT035,3885.922852
FDG52,OUT046,802.6566772
NCL19,OUT019,391.9333801
FDS10,OUT035,2923.708252
FDX22,OUT010,700.0142822
NCF19,OUT035,831.9157104
NCE06,OUT046,2663.853516
DRC27,OUT046,3903.980713
FDE21,OUT035,1922.56311
NCR42,OUT019,36.36058807
FDX51,OUT018,2757.450195
NCR06,OUT018,540.4078369
FDU31,OUT027,5489.405273
FDU59,OUT017,2727.51001
FDR03,OUT027,5342.326172
FDS49,OUT027,2172.863525
FDD48,OUT010,347.3886414
NCF18,OUT017,3193.437988
NCD43,OUT027,2541.641113
NCD54,OUT018,2026.928223
FDY19,OUT010,343.1723328
NCY54,OUT017,2899.887207
NCL19,OUT018,2181.27002
FDP23,OUT010,533.9035034
FDC26,OUT013,1869.211548
FDR14,OUT010,240.282135
NCS41,OUT035,3219.289551
FDF41,OUT035,3960.182373
FDU34,OUT046,2039.824097
DRH11,OUT046,939.5220337
FDM03,OUT013,1655.92334
FDS31,OUT017,2934.858398
FDJ20,OUT017,2073.587402
FDV44,OUT027,5058.932129
FDG02,OUT049,3098.97998
FDA09,OUT013,2847.274414
FDT04,OUT013,691.0117798
FDL58,OUT019,739.4858398
FDE52,OUT045,1450.874634
FDW12,OUT035,2462.85376
FDL51,OUT017,3640.365234
NCY42,OUT027,3309.622559
FDR07,OUT017,1603.529907
FDN40,OUT045,2411.269287
FDB35,OUT027,2424.816162
FDA22,OUT017,2735.327148
NCL06,OUT046,4112.896973
FDI35,OUT013,2868.633301
NCW42,OUT045,3842.982178
NCX06,OUT049,2898.15625
FDC37,OUT027,2610.901367
FDZ14,OUT018,1838.042236
DRG49,OUT049,3932.537842
NCG06,OUT045,3887.141113
DRC36,OUT045,2866.845459
FDV21,OUT019,377.568634
FDB53,OUT046,2405.436523
DRP47,OUT019,653.9561157
FDA14,OUT013,2401.348145
DRC24,OUT035,2466.836182
FDW21,OUT018,1463.488037
NCH29,OUT046,1578.972778
FDU58,OUT013,3117.937988
FDY27,OUT017,2933.260254
FDV56,OUT035,1702.614136
FDT59,OUT046,4012.248291
FDB23,OUT046,3749.853516
FDR49,OUT045,793.7520752
FDB03,OUT010,581.5219727
FDN39,OUT045,2704.404541
FDX02,OUT027,5897.34375
FDQ16,OUT027,2596.965576
FDU35,OUT018,1423.474731
NCT29,OUT013,2035.898438
FDZ27,OUT046,803.7675171
FDN57,OUT017,2214.308594
FDA03,OUT018,2172.741943
FDZ36,OUT045,3129.741943
NCU05,OUT013,1336.886841
FDT39,OUT018,2179.919922
FDK60,OUT017,1604.05249
FDZ25,OUT017,2817.380859
FDG12,OUT046,2051.82373
DRB01,OUT019,525.7988892
NCC43,OUT027,6104.696289
FDX13,OUT019,740.0500488
FDM22,OUT049,927.4295654
FDJ03,OUT027,1319.023315
FDU14,OUT018,3558.726318
FDB33,OUT010,443.2220764
FDP27,OUT046,3095.921143
FDO38,OUT010,298.1106873
FDE28,OUT027,6000.693359
FDO27,OUT035,1602.388306
DRL23,OUT027,2543.083984
FDS28,OUT046,941.3952026
FDX24,OUT013,1444.591919
FDZ02,OUT035,1609.981201
FDL46,OUT045,1875.0448
FDS60,OUT027,4682.800781
NCO06,OUT017,715.0844116
FDO16,OUT035,1391.057007
FDC60,OUT049,1367.668701
FDA48,OUT018,3185.424316
FDZ36,OUT027,5112.828613
FDK27,OUT045,1946.478638
FDW23,OUT018,540.793457
FDM14,OUT018,1594.389771
FDM14,OUT013,1655.681274
FDW60,OUT018,2555.004639
FDE21,OUT013,1885.390747
NCM42,OUT035,1706.788086
FDY59,OUT010,281.8998108
DRI49,OUT049,1338.090698
FDT28,OUT019,404.906189
FDQ22,OUT018,537.4243774
FDR60,OUT049,1327.390991
FDC50,OUT019,291.9899597
FDV24,OUT013,2401.967041
DRF48,OUT010,558.3408203
FDQ47,OUT046,690.0595093
DRN36,OUT049,1571.120361
NCY06,OUT035,2094.457275
FDE52,OUT035,1484.600586
NCB54,OUT045,2058.662354
NCF31,OUT035,2456.583496
FDJ08,OUT027,5037.13916
NCC07,OUT017,1698.246826
NCD19,OUT027,1620.215576
FDL46,OUT049,1883.725464
FDM20,OUT045,4002.919678
NCI06,OUT010,469.9681396
DRM11,OUT035,4144.777344
NCH07,OUT018,2294.875977
FDS23,OUT013,2115.979248
FDO49,OUT018,647.503418
FDS35,OUT049,1099.967529
DRK39,OUT045,1345.931885
DRI39,OUT049,944.6852417
FDV04,OUT017,2606.054443
NCN14,OUT035,3186.035156
FDH08,OUT013,4031.087891
FDS20,OUT046,3150.539551
FDV40,OUT049,1239.831543
FDZ48,OUT010,371.1676941
FDS24,OUT027,2287.549072
FDK44,OUT049,2859.338867
FDS48,OUT045,2417.579834
FDK26,OUT010,549.5552368
FDD23,OUT045,3133.468506
NCH54,OUT017,2738.292725
NCP14,OUT010,352.2761841
FDM60,OUT010,43.4775238
FDV24,OUT017,2449.461182
FDH08,OUT018,3533.349121
FDS12,OUT027,3327.457275
FDR39,OUT027,4676.626465
FDP12,OUT027,1118.914917
DRF60,OUT027,6140.976074
FDC09,OUT035,1695.128784
FDF50,OUT018,2742.962646
FDG28,OUT035,4004.967041
NCE19,OUT017,969.1308594
NCM53,OUT010,343.288147
NCN18,OUT049,1756.667236
FDF32,OUT035,3272.859619
FDF11,OUT013,3972.499512
DRI59,OUT049,3873.035645
NCG54,OUT035,2796.32373
FDM44,OUT046,1666.795898
FDT57,OUT018,3487.950439
FDV24,OUT046,2405.436523
FDI50,OUT019,716.5576782
FDS09,OUT035,837.4827271
NCC31,OUT027,3622.495117
FDQ07,OUT019,518.239624
FDC22,OUT017,3161.295166
FDZ56,OUT046,2749.216553
FDZ40,OUT019,230.394989
FDS46,OUT027,3031.929688
DRD24,OUT045,2184.021973
FDV45,OUT017,3183.580078
FDL26,OUT045,2415.333252
FDA56,OUT018,1840.20813
FDN27,OUT046,1886.562378
FDM20,OUT049,4006.926025
FDO16,OUT017,1379.691162
FDL03,OUT035,3188.311523
FDE58,OUT046,1881.636597
FDI02,OUT027,3045.384277
NCC55,OUT019,61.88159943
FDR03,OUT018,3204.766846
FDB14,OUT017,1477.02478
FDR45,OUT013,3972.595215
NCN07,OUT017,2171.80542
FDM51,OUT019,364.9831238
FDT52,OUT027,6103.238281
FDL26,OUT046,2404.214844
NCZ42,OUT046,3884.849609
DRI47,OUT019,411.8534851
FDW40,OUT013,2166.831055
FDN34,OUT046,2742.582031
FDS01,OUT035,2912.195801
NCG55,OUT045,1884.127197
FDC11,OUT035,1392.49231
FDX35,OUT018,3322.326172
